Array Length,Bubble Time,Selection Time,Shell Time
25,152009,5490,660
50,399681,5689,7540
75,496258,10640,2920
100,111865,2460,3599
125,132806,3720,5170
150,274970,9950,7400
175,294557,13049,14340
200,477686,22890,3380
225,315588,27870,4650
250,384849,4160,6110
275,442704,7080,11630
300,530600,13790,5340
325,642350,10880,2910
350,567294,14359,3860
375,622229,9700,2609
400,709932,26170,2790
425,872463,11380,3290
450,1489336,20060,3480
475,1171263,20869,4250
500,1453306,19980,107080
525,1704530,69889,5490
550,2217143,35190,7999
575,1999144,31940,5800
600,2285934,21959,4510
625,2237373,25180,10580
650,2188297,24680,4360
675,2562019,72560,8600
700,2527362,179729,6710
725,2974946,40130,11180
750,5299894,30260,8940
775,3362399,95790,15420
800,2700669,38420,4750
825,2425846,55530,9350
850,3801764,44920,11410
875,4216986,59350,13410
900,4708698,136250,9740
925,4471909,58210,5630
950,5563170,95380,3910
975,5534937,107090,6759
1000,5679873,79480,4349
1025,5530377,74560,8020
1050,6807887,122500,6810
1075,6463248,103900,8340
1100,6812824,72780,5600
1125,7341272,176940,9509
1150,7806147,71660,7710
1175,8297384,143730,5480
1200,7998928,108390,17809
1225,7548922,87160,11069
1250,6615412,147120,10380
1275,7643641,117200,19590
1300,7812184,104850,13850
1325,7963108,153510,16810
1350,8458200,101570,20330
1375,8584400,173580,18989
1400,9001870,136610,16340
1425,9930186,114470,22579
1450,7578198,153139,13580
1475,11668789,238059,21390
1500,14179228,190310,25140
1525,9218292,152500,11869
1550,7586769,139090,11450
1575,7263416,122690,11060
1600,7608621,145670,17910
1625,8048082,130390,11620
1650,7929508,129250,11530
1675,8527331,138410,14290
1700,8750183,137970,13599
1725,8698138,144130,5690
1750,9541424,187270,6690
1775,9349552,153119,5909
1800,9526114,172480,5650
1825,10426391,167720,6040
1850,10440679,184270,10030
1875,10958767,174520,7420
1900,10620636,173099,6280
1925,11291923,171309,6490
1950,11152052,179010,6229
1975,11892435,189049,6780
2000,12052933,205060,10320
2025,12638893,203010,6689
2050,12671879,225090,8829
2075,13022987,205860,7580
2100,13654928,250550,9710
2125,13960793,224210,9540
2150,14556038,243980,7730
2175,14051904,234699,8520
2200,15319680,251720,11170
2225,14793947,248580,8859
2250,15519184,231869,7820
2275,15415858,243380,12760
2300,16568155,262409,12349
2325,16162725,273499,12130
2350,17019372,279929,9940
2375,17003867,282880,10739
2400,17918237,288809,10020
2425,17777763,291770,11040
2450,18454546,297619,9260
2475,18324654,304360,11889
2500,18879835,320310,9959
2525,19377533,321000,10070
2550,19966663,306749,11439
2575,20080266,340450,9620
2600,20647086,329619,12870
2625,21117838,340960,15430
2650,21303233,368230,11110
2675,21564943,420870,10250
2700,21981824,397570,9470
2725,22525672,408160,11760
2750,22815527,397220,11400
2775,23061682,389560,18680
2800,23649148,374970,9740
2825,24120344,376640,16319
2850,24382914,387370,11200
2875,24736971,495439,10730
2900,25442256,431319,10330
2925,26250955,417180,23729
2950,33761665,682230,24540
2975,37019136,458630,13780
3000,28410773,469740,10949
3025,28632627,463080,15170
3050,28512142,461260,13290
3075,28755994,473920,13680
3100,30482479,469290,12200
3125,30087157,484609,12839
3150,30301855,491190,13290
3175,30740675,485700,13950
3200,31099767,515150,11739
3225,31547406,543860,14109
3250,32212630,522690,13839
3275,32889543,545739,12750
3300,34273813,653000,18810
3325,35872531,657260,34849
3350,34999883,555349,15580
3375,35285648,553609,15420
3400,35653724,589970,12140
3425,36282682,569520,13510
3450,36788448,593140,12889
3475,37362064,583360,13370
3500,38094016,586550,13980
3525,38261101,598760,13899
3550,39116290,600800,13010
3575,39664639,618369,13130
3600,39459423,683120,14020
3625,40217962,638790,18380
3650,40663236,617180,14369
3675,41417143,633980,15190
3700,41786564,665820,12790
3725,42642716,663780,13879
3750,43035351,683290,14790
3775,43877665,686989,14170
3800,46517916,704050,18810
3825,46443791,698770,15549
3850,45389338,693440,13830
3875,47131003,1017660,21250
3900,61463600,743390,20110
3925,49069210,756320,22279
3950,48011410,736340,15380
3975,48467891,751450,14970
4000,49498628,789509,15220
4025,50359872,788030,15270
4050,50871227,800780,21300
4075,51398912,808160,17140
4100,56389141,809210,17380
4125,52646283,811870,18180
4150,53379258,838470,17590
4175,53585305,848090,18280
4200,54776800,859920,17540
4225,55668480,854610,17220
4250,56968608,866170,16670
4275,56544110,873380,22990
4300,56811691,896640,19350
4325,57532759,881449,19200
4350,58522116,891700,16979
4375,58640691,901289,18110
4400,59345749,901930,18050
4425,60475805,928330,19670
4450,61029830,964630,19080
4475,62085453,938760,20320
4500,64344435,1580580,22740
4525,75259523,995500,18260
4550,64795142,988420,20550
4575,64631314,1035750,21390
4600,65289411,1018640,17880
4625,65796870,1026499,21049
4650,67892387,1031200,18319
4675,74205039,1049600,21960
4700,69836693,1062869,19160
4725,70283339,1091460,20670
4750,70638884,1098780,20580
4775,71361908,1121269,21290
4800,72361850,1143700,19310
4825,73144264,1148030,23289
4850,72440486,1105950,19010
4875,73698828,1139110,24090
4900,75061393,1156100,23890
4925,76036299,1196870,21700
4950,76660170,1193720,24010
4975,76631887,1216860,24460
5000,95085128,1302010,29350
